Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"JP3, JP4",,1X02_2.54_SCREWTERM,OSTVN02A150,On Shore Technology Inc.,DK,ED10561-ND,CONN TERM BLOCK 2.54MM 2POS PCB,REF60
1,"JP2",,1X02,PREC002SAAN-RC,Sullins Connector Solutions,DK,S1012EC-02-ND,CONN HEADER .100in SNGL STR 2POS,REF59
1,"JP1",,1X05,PREC005SAAN-RC,Sullins Connector Solutions,DK,S1012EC-05-ND,CONN HEADER .100in SNGL STR 5POS,REF58
2,"C1, C2",0.1u,C1206,12065C104KAT2A,AVX,DK,478-1556-1-ND,CERAMIC CAPACITOR, 0.1UF, 50V, X7R, 10%, 1206,REF61
1,"C3",0.01u,C1206,12065C103KAT2A,AVX,DK,478-1542-1-ND,MLCC CAPACITOR, 0.01uF, 50V, X7R, 10%, 1206, FULL REEL,REF62
2,"R1, R2",62,R1206,RC1206FR-0762RL,Yageo,DK,311-62.0FRCT-ND,RES SMD 62 OHM 1% 1/4W 1206,REF63
1,"IC1",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
