Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"JP3, JP4",,1X02_2.54_SCREWTERM,OSTVN02A150,On Shore Technology Inc.,DK,ED10561-ND,CONN TERM BLOCK 2.54MM 2POS PCB,REF60
1,JP2,,2X2,PREC002DAAN-RC,Sullins Connector Solutions,DK,S2012EC-02-ND,CONN HEADER .100in DUAL STR 4POS,REF66
1,JP1,,1X04,PREC004SAAN-RC,Sullins Connector Solutions,DK,S1012EC-04-ND,CONN HEADER .100in SNGL STR 4POS,REF65
1,C1,0.1u,C1206,12065C104KAT2A,AVX,DK,478-1556-1-ND,CERAMIC CAPACITORÂ 0.1UF 50V X7R 10%Â 1206,REF61
1,C2,0.01u,C1206,12065C103KAT2A,AVX,DK,478-1542-1-ND,MLCC CAPACITORÂ 0.01uF 50V X7R 10%Â 1206 FULL REEL,REF62
2,"R1, R2",62,R1206,RC1206FR-0762RL,Yageo,DK,311-62.0FRCT-ND,RES SMD 62 OHM 1% 1/4W 1206,REF63
1,JP1-ALT,BOM-ENTRY,*,PEC04SBBN,Sullins Connector Solutions,DK,S1122E-04-ND,CONN HEADER .100in SINGL R/A 4POS,REF67
1,IC1,SN65HVD232,SO8,SN65HVD232DR,Texas Instruments,DK,296-26344-1-ND,IC CAN TRANSCEIVER 3.3V 8-SOIC,REF64
1,Jumper,,*,MNT-102-BK-G,Samtec,DK,SAM9042-ND,CONN SHUNT 4POS,*
