Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"JP3, JP4",,1X02_2.54_SCREWTERM,OSTVN02A150,On Shore Technology Inc.,DK,ED10561-ND,CONN TERM BLOCK 2.54MM 2POS PCB,REF60
1,"JP2",,1X02,PREC002SAAN-RC,Sullins Connector Solutions,DK,S1012EC-02-ND,CONN HEADER .100"" SNGL STR 2POS,REF59
1,"JP1",,1X05,PREC005SAAN-RC,Sullins Connector Solutions,DK,S1012EC-05-ND,CONN HEADER .100"" SNGL STR 5POS,REF58
2,"C1, C2",0.1u,C1206,GRM155R71C104KA88D,Murata,DK,490-3261-1-ND,0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount MLCC 0402,REF48
1,"R2",60,R1206,ERJ-2RKF1002X,Panasonic Electronic Components,DK,P10.0KLCT-ND,RES SMD 10K OHM 1% 1/10W 0402,REF50
1,"R1",60,R1206,ERJ-2RKF6202X,Panasonic Electronic Components,DK,P62.0KLCT-ND ,RES SMD 62K OHM 1% 1/10W 0402,REF49
1,"IC1",TJA1049,SO8,TJA1049T-118,NXP Semiconductors,DK,568-8682-1-ND,IC CAN TRANSEIVER HS 8SOIC,REF16
